Date,Coint_PValue,Is_Cointegrated
2016-01-04,0.45331890794597984,False
2016-01-05,0.4514415964581154,False
2016-01-06,0.4324113122833844,False
2016-01-07,0.49156865412094436,False
2016-01-08,0.5647895759369208,False
2016-01-11,0.6139107653789947,False
2016-01-12,0.6356361679563363,False
2016-01-13,0.5229800441424245,False
2016-01-14,0.45099369895773267,False
2016-01-15,0.27623333908864567,False
2016-01-19,0.3680365602600921,False
2016-01-20,0.5185218848464445,False
2016-01-21,0.48681421142653897,False
2016-01-22,0.39449069115044116,False
2016-01-25,0.2412232464081735,False
2016-01-26,0.30694016088356846,False
2016-01-27,0.25583821844960497,False
2016-01-28,0.23852733792397374,False
2016-01-29,0.27293705258599527,False
2016-02-01,0.3677531056469904,False
2016-02-02,0.3469019581654367,False
2016-02-03,0.323008222954989,False
2016-02-04,0.2958631365821466,False
2016-02-05,0.28596467406374754,False
2016-02-08,0.29590843902256697,False
2016-02-09,0.32975128840817935,False
2016-02-10,0.39563022207177695,False
2016-02-11,0.36783470750175606,False
2016-02-12,0.3918913863910459,False
2016-02-16,0.3098982323957218,False
2016-02-17,0.2928521860686193,False
2016-02-18,0.29589282818762347,False
2016-02-19,0.2810151339799023,False
2016-02-22,0.25432356171074877,False
2016-02-23,0.25962249129693227,False
2016-02-24,0.2536852163467356,False
2016-02-25,0.27792479037824763,False
2016-02-26,0.3143689735075177,False
2016-02-29,0.2957181345944959,False
2016-03-01,0.32712518641774635,False
2016-03-02,0.3319930411203434,False
2016-03-03,0.3638621702882797,False
2016-03-04,0.38000850513903495,False
2016-03-07,0.3930548508198579,False
2016-03-08,0.4662542342349736,False
2016-03-09,0.4198049064385199,False
2016-03-10,0.4257990007198306,False
2016-03-11,0.411136416179923,False
2016-03-14,0.3844206436316657,False
2016-03-15,0.3477829481892244,False
2016-03-16,0.2557223686971458,False
2016-03-17,0.2618986392760988,False
2016-03-18,0.2987245533540008,False
2016-03-21,0.34713886109496594,False
2016-03-22,0.43643816903514543,False
2016-03-23,0.4456249123482467,False
2016-03-24,0.48233932815307,False
2016-03-28,0.4846828041640707,False
2016-03-29,0.4723916728865509,False
2016-03-30,0.4371710322937995,False
2016-03-31,0.4158440306492667,False
2016-04-01,0.4319190821282455,False
2016-04-04,0.42823873111845717,False
2016-04-05,0.4332603121907067,False
2016-04-06,0.419403367978876,False
2016-04-07,0.4531444244612559,False
2016-04-08,0.41965475300165267,False
2016-04-11,0.41472191210993326,False
2016-04-12,0.43890463442965216,False
2016-04-13,0.42245662744345924,False
2016-04-14,0.3728718852254714,False
2016-04-15,0.414869912833443,False
2016-04-18,0.4189097398897733,False
2016-04-19,0.33655569507175276,False
2016-04-20,0.36705164688928316,False
2016-04-21,0.37687312354042996,False
2016-04-22,0.30113790076602753,False
2016-04-25,0.30310427735084394,False
2016-04-26,0.28341320464399333,False
2016-04-27,0.3246850293876477,False
2016-04-28,0.3732105866663752,False
2016-04-29,0.4043582987233034,False
2016-05-02,0.383757452869839,False
2016-05-03,0.44006279764698814,False
2016-05-04,0.3397396964885965,False
2016-05-05,0.3041559990953519,False
2016-05-06,0.3656730060563058,False
2016-05-09,0.4245209873912844,False
2016-05-10,0.37116884101121084,False
2016-05-11,0.3763958014944634,False
2016-05-12,0.4237404117682041,False
2016-05-13,0.4883691536823555,False
2016-05-16,0.5105868576007145,False
2016-05-17,0.5922038393714256,False
2016-05-18,0.6255945191323239,False
2016-05-19,0.6188911475765658,False
2016-05-20,0.5704083379318409,False
2016-05-23,0.5447681814176709,False
2016-05-24,0.5797148542071755,False
2016-05-25,0.6519771808156217,False
