Trade_Number,Entry_Date,Exit_Date,Direction,Entry_Price,Exit_Price,Entry_Z_Score,Exit_Z_Score,Duration_Days,Spread_PnL,Spread_PnL_Pct,Portfolio_PnL,Portfolio_PnL_Pct,MAE,MFE,Win
1,2015-10-26,2015-11-05,Short,3.0600585715484088,2.9507419694797896,2.626312104285564,-0.15092108524133707,10,0.10931660206861915,3.5723695972689913,27628.671901034017,5.383741505228523,-0.057765064925966225,0.10931660206861915,True
2,2015-11-13,2015-11-20,Long,2.8481251680433624,2.9354426709759567,-2.18957928410013,-0.24346276211404178,7,0.08731750293259433,3.0657888182835977,22968.036132662673,4.249919708331476,-0.005946321949866995,0.08731750293259433,True
3,2015-12-15,2015-12-21,Short,3.0203980572317337,2.900265136883303,1.877385603091818,-0.5360185459889243,6,0.1201329203484307,3.977387022243531,34522.604848915944,6.1318422882950605,0.0,0.1201329203484307,True
4,2015-12-28,2016-01-20,Long,2.804665296020606,2.5285574573641068,-2.3459372832338423,-1.7902238236794126,23,-0.27610783865649946,-9.84459140448076,-79867.7017081682,-13.375782209753165,-0.27610783865649946,0.0005820744400488742,False
5,2016-04-04,2016-04-06,Long,2.8830040170425937,2.9833588034502725,-1.7064849392459007,-0.4520714887436296,2,0.10035478640767881,3.480910391190626,26041.57574767503,5.038279083135504,0.0,0.10035478640767881,True
6,2016-04-07,2016-04-08,Long,2.915813453959508,2.9937202263809444,-1.5262513955888366,-0.3296344108293364,1,0.07790677242143618,2.6718709427601834,21293.80280325527,3.924884461738789,0.0,0.07790677242143618,True
7,2016-04-27,2016-04-29,Short,3.1233250526146517,3.0484936998859333,1.7599484237976495,0.4233685026998885,2,0.07483135272871833,2.395887442649436,21386.98146623862,3.7958572989524377,0.0,0.07483135272871833,True
8,2016-05-16,2016-05-27,Short,3.157807540345568,3.124266261849675,2.295682353020667,0.49383493593113653,11,0.03354127849589306,1.0621698145740237,10177.152833472588,1.7414577643591893,-0.0692870525117617,0.03354127849589306,True
9,2016-07-22,2016-08-08,Long,2.7671272975988055,2.7507917941304187,-1.5017607187933628,-0.3688293442851147,17,-0.016335503468386747,-0.5903415965923215,18771.63461183023,3.1593451295984987,-0.10550317567662582,0.0,False
10,2016-09-16,2016-09-28,Long,2.680770559682705,2.7687279760298207,-1.9547389661127863,-0.10484405350239435,12,0.08795741634711574,3.2810497724029895,27167.255249422393,4.435457797119455,-0.023547393138977135,0.08795741634711574,True
11,2016-11-25,2016-12-12,Long,2.7033932544851433,2.71231828337946,-1.691195190927836,-0.3573577078317773,17,0.008925028894316789,0.33014171650792795,27006.520342746866,4.224931091425118,-0.09009032201508838,0.008925028894316789,True
12,2017-02-21,2017-03-06,Short,3.0485260695950243,2.9090028976595423,3.0594877561636524,0.259767159550864,13,0.13952317193548192,4.576741964815036,47537.26080639649,7.140355274817073,0.0,0.13952317193548192,True
13,2017-04-27,2017-05-16,Long,2.7159432251312112,2.71237519107991,-1.9096488380192593,-0.3881327150002749,19,-0.0035680340513013498,-0.13137366121226532,13596.47507000179,1.9075028785287889,-0.07889057782047004,0.004779096242898628,False
14,2017-06-26,2017-06-30,Long,2.6624265163643517,2.7192991509474043,-1.992764039244546,-0.11609872481381582,4,0.056872634583052584,2.1361203486177116,20492.272854557377,2.8231186229410286,0.0,0.056872634583052584,True
15,2017-07-24,2017-08-10,Short,2.771639696701034,2.789818039857339,1.7682127363948246,0.13917405428316518,17,-0.018178343156304955,-0.6558696347848485,-1817.1060058809817,-0.2436322491626548,-0.11630327654831607,0.0,False
16,2017-09-21,2017-10-12,Short,2.8425145786665635,2.8290126353966354,2.5951420947345434,0.21381542304310197,21,0.013501943269928152,0.47499996556788016,22650.092981877737,3.046422665902757,-0.04170994681959472,0.013501943269928152,True
17,2017-10-27,2017-11-08,Short,2.97480255219251,2.8844047734162768,2.952099183667676,0.14047054421811014,12,0.09039777877623312,3.0387824801887278,35744.73478572292,4.6688036948374245,0.0,0.09039777877623312,True
